"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8440","D_26: Kiểm tra click vào hình poster hoặc nút 'Mua vé' trên thẻ phim","chromium","2026-09-20","passed","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","0","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","webkit","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_04: Kiểm tra điều hướng đến trang Cụm Rạp","firefox","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","Verify register function with POM(Page Object Model)","chromium","2026-09-20","skipped","2026-09-20","","ui\register.spec.ts","",""
"","0","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","webkit","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_39: Kiểm tra thông tin userlog và userprofile trên Header có trùng khớp hay không","webkit","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_41: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","firefox","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","14198","D_30: Kiểm tra giao diện khi API lấy danh sách phim bị lỗi","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","5260","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","chromium","2026-09-20","passed","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","0","D_39: Kiểm tra thông tin userlog và userprofile trên Header có trùng khớp hay không","firefox","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","40054","D_20: Kiểm tra tìm kiếm suất chiếu với đầy đủ thông tin","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","7146","D_24: Nhãn phân loại độ tuổi","firefox","2026-09-20","failed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","1","D_35: Kiểm tra chức năng Quên mật khẩu","firefox","2026-09-20","skipped","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","1","D_34: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","chromium","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","40306","D_31: Kiểm tra danh sách rạp được hiển thị","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","10823","D_38: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","chromium","2026-09-20","failed","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","24951","D_23: Kiểm tra thông tin hiển thị trên thẻ phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","5073","D_31: Kiểm tra danh sách rạp được hiển thị","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Cinema List","ui\dashboard\dashboard.spec.ts","",""
"","4787","D_21: Kiểm tra danh sách phim trên trang chủ được hiển thị","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","7693","D_16: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu khi chỉ chọn Phim","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","2147","D_24: Nhãn phân loại độ tuổi","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","8420","D_30: Kiểm tra giao diện khi API lấy danh sách phim bị lỗi","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","18435","D_11: Tìm kiếm bằng chữ cái tên phim trong danh sách phim","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_37: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","11014","D_22: Kiểm tra pagination của danh sách phim","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","17612","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","chromium","2026-09-20","failed","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","8779","D_05: Kiểm tra điều hướng đến trang Tin Tức","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_36: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","chromium","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","4589","D_03: Kiểm tra điều hướng đến trang Lịch Chiếu","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","40036","I_01: Kiểm tra chức năng Quên mật khẩu","firefox","2026-09-20","broken","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","33968","D_14: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu khi chưa chọn Phim và Rạp","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_39: Xem danh sách phim ở trang thứ 2, chọn phim John Cena WWE và kiểm tra hình ảnh poster/trailer phim","webkit","2026-09-20","skipped","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","17287","D_12: Kiểm tra dropdown Rạp hiển thị danh sách rạp khi chưa chọn Phim","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
